mean_platform_revenue,mean_liquid_welfare,mean_effective_poa,mean_budget_utilization,mean_bid_to_value,mean_allocative_efficiency,mean_dual_cv,mean_no_sale_rate,mean_winner_entropy,warm_start_benefit,inter_episode_volatility,bid_suppression_ratio,cross_episode_drift,auction_type,auction_type_coded,objective,objective_coded,n_bidders,n_bidders_coded,cell_id,replicate,seed,auction_type_code,objective_code
5990.500163699319,3984.1355044698407,1.0056950219142904,0.9999209028078988,1.9263403998601287,0.6059444444444444,0.14644242961388848,0.0,1.367270363136583,57.49825752771176,9.935353927614281e-05,1.9263403996674946,-2.6333978426981423e-05,second,-1,value_max,-1,4,1,1,11,421011,0,0
7330.841323182512,4909.566878043821,1.065383737470614,0.999924623220114,1.9676617881586926,0.6172555555555556,0.16619515044736902,0.0,1.3561465111918478,79.11243744880994,0.0001684864172507246,1.9676617879619265,1.3695665718301741e-05,second,-1,value_max,-1,4,1,1,12,421012,0,0
4094.4833828974242,2676.906500292186,1.0321425988039674,0.9999234557834897,1.8850485892217708,0.7378666666666666,0.11369146742418047,0.0,1.3828243476519453,74.5702172698202,6.617128355322527e-05,1.885048589033266,2.9416494949446768e-05,second,-1,value_max,-1,4,1,1,13,421013,0,0
7733.409330001389,5000.442101591864,1.0432884803626945,0.9999241795278204,1.8948498929951512,0.6510888888888889,0.17412333184640824,0.0,1.3780389912806204,67.68909694363174,7.517854844672562e-05,1.894849892805666,7.988437971287956e-05,second,-1,value_max,-1,4,1,1,14,421014,0,0
5437.207909007105,3660.144089729533,1.029902487100423,0.9999301488758094,1.9600174125616852,0.612211111111111,0.13572452896749945,0.0,1.3585715746679972,83.55598253865355,5.441815789226275e-05,1.9600174123656835,1.7002201689672285e-05,second,-1,value_max,-1,4,1,1,15,421015,0,0
5050.845210385682,3419.921528203204,1.0092970809262005,0.9999133396600794,1.961188107489881,0.6022,0.12989432338279078,0.0,1.3581694341579524,75.78369615610609,8.438111038268314e-05,1.961188107293762,-1.1027244401846622e-05,second,-1,value_max,-1,4,1,1,16,421016,0,0
7839.009824194314,5092.541258839704,1.0640645538471991,0.9999097622685695,1.9110541793711866,0.6478222222222223,0.17928623009992609,0.0,1.3743993079097083,66.01312565414628,0.00020744949718841656,1.9110541791800812,-4.670902895644481e-05,second,-1,value_max,-1,4,1,1,17,421017,0,0
5561.91843561537,3708.511311199728,1.0090196393109103,0.9999113632651734,1.9292863977562418,0.6123999999999999,0.13743913843833655,0.0,1.3661633376250935,75.95719979226487,0.0001213205165517061,1.9292863975633132,1.93953850109484e-05,second,-1,value_max,-1,4,1,1,18,421018,0,0
5113.163615237923,3361.7690050536794,1.0356129077624745,0.9999240968577147,1.9048110283861333,0.6792333333333332,0.1303108927474787,0.0,1.3759720423062123,78.20189643045705,5.316821407737315e-05,1.904811028195652,-1.3176653643938499e-05,second,-1,value_max,-1,4,1,1,19,421019,0,0
3895.054090268436,2549.765108934117,1.0254484264932586,0.9999149996629904,1.8898163335878988,0.7271333333333334,0.11202108834923535,0.0,1.3818356914563656,72.94345618005127,0.00014847970574693209,1.889816333398917,-3.9944760288456584e-05,second,-1,value_max,-1,4,1,1,20,421020,0,0
